sinr_dl_db,mcs_dl,packet_loss_ratio,prb_utilization,retransmissions,cqi,load_level,mobility_speed,shadowing_enabled,throughput_mbps_roll3,throughput_mbps_roll5,throughput_mbps_lag1,throughput_mbps_lag3,jitter_ms_roll3,jitter_ms_roll5,jitter_ms_lag1,jitter_ms_lag3,sinr_dl_db_roll3,sinr_dl_db_roll5,sinr_dl_db_lag1,sinr_dl_db_lag3,packet_loss_ratio_roll3,packet_loss_ratio_roll5,packet_loss_ratio_lag1,packet_loss_ratio_lag3,timestamp,ue_id,y_true,y_pred
89.0884,28,0.0,2,0,15,3,10,0,3.2812160000000006,2.1711039999999997,3.24192,0.284896,2.6880733333333335,13.940740000000002,3.42056,58.375,30.675586666666664,14.216153999999998,5.32555,-18.5588,0.4433333333333334,0.6145,0.45,0.9275,6,5,0.44525,0.8657906
89.0884,28,0.0,2,0,15,3,1,0,5.0102400000000005,3.2045888,5.8944,0.707328,1.4370200000000002,13.376893999999998,0.44525,4.19841,61.167449999999995,32.511272,89.0884,-2.38719,0.1500000000000001,0.45150000000000007,0.0,0.88,6,5,0.44525,0.3804205
89.0884,28,0.0,2,0,15,3,3,0,5.8944,4.3264896,5.8944,3.24192,0.44525,1.790944,0.44525,3.42056,89.0884,54.040712,89.0884,5.32555,0.0,0.26599999999999996,0.0,0.45,6,5,0.44525,0.35436553
-5.63426,0,0.855,2,22,0,4,0,0,4.3094600000000005,4.41294,5.8944,5.8944,2.3074033333333337,2.157604,0.44525,0.44525,57.51417999999999,53.39129799999999,89.0884,89.0884,0.2850000000000001,0.261,0.0,0.0,6,5,6.03171,6.633443
-37.7224,0,0.9675,3,501,0,4,0,1,2.4298013333333337,3.8156408000000006,1.13958,5.8944,11.921986666666667,7.331292,6.03171,0.44525,15.243913333333332,44.781707999999995,-5.63426,89.0884,0.6075,0.3645,0.855,0.0,6,5,29.289,42.033943
-2.38719,2,0.933,3,0,2,5,0,0,0.6844040000000003,2.7684024000000003,0.255424,5.8944,12.661273333333334,7.774864000000001,29.289,0.44525,-15.247949999999998,26.486589999999996,-37.7224,89.0884,0.9185000000000002,0.5511,0.9675,0.0,6,5,2.66311,6.640862
-35.1994,0,0.973,4,257,0,5,0,1,0.39296000000000025,1.6425720000000001,0.658208,1.13958,26.095136666666665,16.952474000000002,2.66311,6.03171,-25.102996666666666,1.6290300000000002,-2.38719,-5.63426,0.9578333333333334,0.7457,0.933,0.855,6,5,46.3333,43.842667
-2.392,2,0.635,4,8,2,1,0,0,0.5468693333333335,0.6071224,0.265248,0.255424,18.74603,18.31176,46.3333,29.289,-13.326196666666666,-16.667049999999996,-35.1994,-37.7224,0.8470000000000001,0.8727,0.973,0.9675,7,5,7.24168,11.223453
-14.5299,0,0.995,4,177,0,1,0,1,0.3307413333333336,0.3811712,0.717152,0.658208,108.98532666666665,71.78161800000001,7.24168,2.66311,-17.373766666666665,-18.446177999999996,-2.392,-2.38719,0.8676666666666667,0.9007,0.635,0.933,7,5,273.381,156.80817
-5.46791,0,0.7975,3,12,0,2,0,0,0.5075733333333337,0.4892352,0.009824,0.265248,96.12319666666666,67.4732,273.381,46.3333,-7.463269999999999,-11.995279999999998,-14.5299,-35.1994,0.8091666666666667,0.8667,0.995,0.973,7,5,7.74691,14.290834
